MsgID.LOCAL_POSITION,122.3530000,-282.9969788,290.0599060,0.0013203
MsgID.LOCAL_VELOCITY,122.3530000,-0.0000057,0.0000424,0.0000184
MsgID.GLOBAL_POSITION,0.0000000,-122.3941886,37.7899315,-0.0300000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,122.6040000,-283.2142334,290.1886597,0.0307599
MsgID.LOCAL_VELOCITY,122.6040000,0.0000024,0.0000417,0.0000109
MsgID.LOCAL_POSITION,122.8550000,-283.2285767,290.0093079,0.0555058
MsgID.LOCAL_VELOCITY,122.8550000,0.0000069,0.0000311,0.0000105
MsgID.GLOBAL_POSITION,0.0000000,-122.3941906,37.7899314,-0.0550000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,123.1040000,-283.1406860,289.8923645,0.0667198
MsgID.LOCAL_VELOCITY,123.1040000,-0.0000046,0.0000211,0.0000094
MsgID.GLOBAL_POSITION,0.0000000,-122.3941920,37.7899322,-0.0660000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941894,37.7899321,-0.0590000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,123.3540000,-283.1421814,290.1163330,0.0595664
MsgID.LOCAL_VELOCITY,123.3540000,0.0000095,0.0000353,0.0000057
MsgID.GLOBAL_POSITION,0.0000000,-122.3941905,37.7899325,-0.0320000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,123.6050000,-283.0980835,290.0233154,0.0324887
MsgID.LOCAL_VELOCITY,123.6050000,0.0000051,0.0000317,0.0000067
MsgID.GLOBAL_POSITION,0.0000000,-122.3941898,37.7899329,0.0140000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,123.8550000,-283.0553894,290.0816345,-0.0141781
MsgID.LOCAL_VELOCITY,123.8550000,-0.0000028,0.0000441,0.0000150
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941893,37.7899329,0.0690000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,124.1050000,-283.0550232,290.1336975,-0.0698939
MsgID.LOCAL_VELOCITY,124.1050000,0.0000041,0.0000640,0.0000140
MsgID.GLOBAL_POSITION,0.0000000,-122.3941907,37.7899329,0.1250000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,124.3550000,-283.0553284,290.0086060,-0.1252772
MsgID.LOCAL_VELOCITY,124.3550000,0.0000054,0.0000516,0.0000086
MsgID.GLOBAL_POSITION,0.0000000,-122.3941913,37.7899329,0.1740000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,124.6050000,-283.0553589,289.9554443,-0.1744982
MsgID.LOCAL_VELOCITY,124.6050000,0.0000063,0.0000585,0.0000196
MsgID.GLOBAL_POSITION,0.0000000,-122.3941927,37.7899325,0.2020000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,0.0000000
MsgID.LOCAL_POSITION,124.8550000,-283.1022949,289.8268127,-0.2020500
MsgID.LOCAL_VELOCITY,124.8550000,-0.0000007,0.0000511,0.0000199
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3941921,37.7899313,0.2080000
